N;Код ПЛ;Вид ПЛ;ПЛ текущий;Код ПЛ Новый;Вид ПЛ новый;ПЛ новый;Код;Контрагент;Работаем с даты:;Головной контрагент;Система ЭД;Регион;Зона региона;Скидка;Менеджер;Макс РЕГ;Тип контрагента;Отсрочка;Ценообразование на отсрочку;Ценообразование на отсрочку рассч;Коэфф;Сумма2013;ЧН 2013;Сумма2014;ЧН 2014;Сумма2015;ЧН 2015;Сумма2016;ЧН 2016;Сумма2017;ЧН 2017;Вид доставки;Оплачивает ПМ;Возмещение;Перевозчик;Количество контрагентов;Аукцион БП 2013;Аукцион БП 2014;Аукцион БП 2015;Аукцион БП 2016;Аукцион БП 2017;Регион код;Аукцион 2013;Аукцион 2014;Аукцион 2015;Аукцион 2016;Аукцион 2017;БП 2013;БП 2014;БП 2015;БП 2016;БП 2017
68;000153;ГосЛПУ;Коми_2з_БП;;;;09098;Ижемская центральная районная больница, ГБУЗ Республики Коми;23.01.2015;Ижемская центральная районная больница, ГБУЗ Республики Коми;;Республика Коми;2;;Зелинская Н.И.;100;ЛПУ;30;1,80;1,97;;;;;;207 874,09;26 577,79;;;;;АВИА;истина ;;Аэросибсервис;1;;;204 203,01;;;000000139;;;;;;;;204 203,01;;
69;000153;ГосЛПУ;Коми_2з_БП;;;;09452;Печорский психоневрологический диспансер ГУ Республики Коми;02.09.2015;Печорский психоневрологический диспансер ГУ Республики Коми;;Республика Коми;2;;Шкатова В.В;50;ЛПУ;30;1,80;1,97;;;;;;121 176,56;11 546,71;;;;;ЖД;истина ;;Везунчик Транспортно-экспедиторская компания ООО;1;;;121 176,56;;;000000139;;;;;;;;121 176,56;;
70;000153;ГосЛПУ;Коми_2з_БП;;;;10035;Печорская ЦРБ ГБУЗ Республики Коми;;Печорская ЦРБ ГБУЗ Республики Коми;;Печора;;;;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
71;000153;ГосЛПУ;Коми_2з_БП;;;;10048;Интинская центральная городская больница ГБУЗ Республики Коми;;Интинская центральная городская больница ГБУЗ Республики Коми;;Инта;2;;Назаренко Д.В.;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
72;000154;УО;Крым_УО;;;;09088;Крым-Фармация ГУП РК г. Симферополь;13.01.2015;Крым-Фармация ГУП РК г. Симферополь;;Республика Крым;;;Никитина С.Ю.;100;Опт;30;1,80;1,97;;;;;;10 134 331,97;1 596 200,12;10 922 987,37;1 008 427,81;1 809 704,80;284 496,65;АВТО;истина ;;Деловые Линии ООО;1;;;;859 405,14;;000000607;;;;859 405,14;;;;;;
73;000155;УО;Мордовия_УО;;;;04655;Фармация ГУП РМ г. Саранск;12.07.2010;Фармация ГУП РМ г. Саранск;;Республика Мордовия;;;Никитина С.Ю.;60;Опт;;;;;1 197 602,86;226 053,45;2 987 493,93;601 053,43;3 132 446,33;481 485,56;3 170 473,53;241 172,45;2 108 620,02;259 895,25;АВТО;ложь ;;Светлана-К ООО;1;;;;;;000000091;;;;;;;;;;
74;000156;УО;Татарстан_УО_Таттех;;;;05416;Таттехмедфарм ГУП  г.Казань;07.10.2010;Таттехмедфарм ГУП  г.Казань;;Республика Татарстан;;0,070;Кручинкина А.И.;40;Опт;60;3,60;3,95;;23 402 670,59;3 782 139,18;30 800 416,45;4 409 583,06;43 882 907,86;7 061 796,91;23 204 697,07;2 511 704,66;28 819 593,42;2 747 350,40;АВТО;истина ;;Парма Медикал;1;16 412 280,54;19 588 281,75;30 544 001,46;18 622 732,26;27 648 335,58;000000238;;;5 648 135,14;1 024 509,28;;16 412 280,54;19 588 281,75;24 895 866,32;17 598 222,98;27 648 335,58
75;000157;ГосЛПУ;Татарстан_БП;;;;08152;Ново-Чурилинский психоневрологический интернат ГАУСО МТЗиСЗ РТ;17.06.2013;Ново-Чурилинский психоневрологический интернат ГАУСО МТЗиСЗ РТ;;Республика Татарстан;;;Носова Е.А.;50;ЛПУ;30;1,80;1,97;;197 629,77;42 326,38;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;197 629,77;;;;;000000238;;;;;;197 629,77;;;;
76;000157;ГосЛПУ;Татарстан_БП;;;;08185;Министерство здравоохранения Республики Татарстан (ПМ);20.06.2013;Министерство здравоохранения Республики Татарстан (ПМ);;Республика Татарстан;;;Шкатова В.В;100;Опт;30;1,80;1,97;;75 891,16;9 389,34;2 181 526,33;338 993,25;4 760 377,70;358 701,71;1 989 398,64;237 564,26;2 773 667,68;211 631,84;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;75 891,16;2 181 526,33;4 608 589,88;1 726 259,84;2 513 069,68;000000238;;;150 387,53;;;75 891,16;2 181 526,33;4 458 202,35;1 726 259,84;2 513 069,68
77;000157;ГосЛПУ;Татарстан_БП;;;;09849;Зеленодольский психоневрологический интернат ГАУСО;14.07.2016;Зеленодольский психоневрологический интернат ГАУСО;;Республика Татарстан;;0,200;Александров А.А.;50;ЛПУ;30;1,80;1,97;;;;;;;;2 261 327,33;44 218,62;957 045,27;54 627,90;АВТО;истина ;;Деловые Линии ООО;1;;;;2 186 664,33;957 045,27;000000238;;;;;;;;;2 186 664,33;957 045,27
78;000157;ГосЛПУ;Татарстан_БП;;;;09322;Казанская ПБСТИН ФКУ МЗРФ;28.05.2015;Казанская ПБСТИН ФКУ МЗРФ;;Республика Татарстан;;;Шкатова В.В;100;ЛПУ;180;20,00;11,84;;;;;;853 040,73;144 992,51;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;;853 040,73;;;000000238;;;;;;;;853 040,73;;
79;000157;ГосЛПУ;Татарстан_БП;;;;09378;Елабужский психоневрологический интернат ГАУСО;;Елабужский психоневрологический интернат ГАУСО;;Казань;;;Носова Е.А.;100;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
80;000157;ГосЛПУ;Татарстан_БП;;;;09770;Камско-Полянский ПНИ с применением современных медико-социальных технологий реабилитации ГАУСО;;Камско-Полянский ПНИ с применением современных медико-социальных технологий реабилитации ГАУСО;;Нижнекамский р-н;;;Носова Е.А.;50;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
81;000158;ГосЛПУ;Тыва_1з_БП;;;;08276;Республиканская психиатрическая больница ГБУЗ РТ  г.Кызыл;30.07.2013;Республиканская психиатрическая больница ГБУЗ РТ  г.Кызыл;;Республика Тыва;;;Носова Е.А.;100;ЛПУ;;;;;467 829,81;44 207,85;;;;;;;;;АВТО;истина ;;ТК Базис ООО;1;467 829,81;;;;;000000077;467 829,81;;;;;;;;;
82;000158;ГосЛПУ;Тыва_1з_БП;;;;08471;Республиканская больница №2 ГБУЗ РТ г.Кызыл;29.10.2013;Республиканская больница №2 ГБУЗ РТ г.Кызыл;;Республика Тыва;;;Носова Е.А.;50;ЛПУ;30;1,80;1,97;;62 070,22;7 459,83;;;;;;;;;АВТО;истина ;;Деловые Линии ООО;1;62 070,22;;;;;000000077;;;;;;62 070,22;;;;
83;000158;ГосЛПУ;Тыва_1з_БП;;;;08478;Республиканская больница №1 ГБУЗ РТ г.Кызыл;11.11.2013;Республиканская больница №1 ГБУЗ РТ г.Кызыл;;Республика Тыва;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;209 418,04;30 600,54;;;;;;;;; -;истина ;;ТК Базис ООО;1;209 418,04;;;;;000000077;209 418,04;;;;;;;;;
84;000159;Аптечные сети;Тыва_2з_0;;;;07665;Витафарм ООО г. Туран;26.11.2012;Витафарм ООО г. Туран;;Республика Тыва;;;Никитина С.Ю.;60;Аптека;;;;;73 826,83;9 747,98;105 399,31;21 414,81;25 297,00;4 039,00;8 747,18;1 588,38;;;ЖД;ложь ;;Ратэк ООО;1;;;;;;000000077;;;;;;;;;;
85;000160;УО;Тыва_1з_УО;;;;09005;Ресфармация ГБУ Республики Тыва;18.11.2014;Ресфармация ГБУ Республики Тыва;;Республика Тыва;;;Никитина С.Ю.;;Опт;14;0,80;0,92;;;;320 458,60;49 532,97;433 304,94;91 056,37;1 118 512,12;198 062,36;456 043,87;81 419,41;АВИА;ложь ;;ТК Базис ООО;1;;;70 400,00;;;000000077;;;70 400,00;;;;;;;
86;000161;ГосЛПУ;Хакасия_БП;;;;10209;Министерство здравоохранения Республики Хакасия;27.06.2017;Министерство здравоохранения Республики Хакасия;;Республика Хакасия;;;Зелинская Н.И.;100;ЛПУ;30;1,80;1,97;;;;;;;;;;388 602,69;117 813,32;АВТО;истина ;;ПЭК ООО;1;;;;;388 602,69;000000205;;;;;;;;;;388 602,69
87;000162;УО;Хакасия_УО;;;;09977;Ресфармация ГБУ Республики Хакасия;16.12.2016;Ресфармация ГБУ Республики Хакасия;;Республика Хакасия;;;Царапкина А.Ю.;65;Опт;;;;;;;;;;;81 101,82;13 855,82;125 889,73;11 009,50;ЖД;истина ;;"СпецсвязьФГУП ""ГЦСС""";1;;;;;;000000205;;;;;;;;;;
88;000162;УО;Хакасия_УО;;;;01862;Ресфармация ГУП РХ г.Абакан (не действует);31.03.2008;Ресфармация ГУП РХ г.Абакан (не действует);;Республика Хакасия;;;Никитина С.Ю.;65;Опт;30;1,80;1,97;;60 776,00;6 474,50;557 917,09;152 582,89;714 381,50;181 864,10;71 196,82;8 822,92;;;ЖД;истина ;;"СпецсвязьФГУП ""ГЦСС""";1;;;;;;000000205;;;;;;;;;;
89;000163;ГосЛПУ;Ростов_БП;;;;09167;Психоневрологический диспансер (Азовский филиал), ГБУ Ростовской области;20.03.2015;Психоневрологический диспансер (Азовский филиал), ГБУ Ростовской области;;Ростовская область;;;Зелинская Н.И.;100;ЛПУ;60;3,60;3,95;;;;;;598 335,02;16 870,67;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;;598 335,02;;;000000189;;;;;;;;598 335,02;;
90;000163;ГосЛПУ;Ростов_БП;;;;07146;Министерство здравоохранения Ростовской области;06.02.2012;Министерство здравоохранения Ростовской области;;Ростовская область;;;Зелинская Н.И.;50;Опт;180;20,00;11,84;;;;;;677 932,99;82 074,76;;;;;ЖД;истина ;;Желдорэкспедиция-ООО;1;;;119 881,99;;;000000189;;;;;;;;119 881,99;;
91;000163;ГосЛПУ;Ростов_БП;;;;08992;Сальский ПНИ,  Ростовская область;17.11.2014;Сальский ПНИ,  Ростовская область;;Ростовская область;;;Шкатова В.В;100;ЛПУ;30;1,80;1,97;;;;;;513 308,63;-16 172,28;323 355,16;48 684,87;;;АВТО;истина ;;ПЭК ООО;1;;;513 308,63;323 355,16;;000000189;;;;42 272,73;;;;513 308,63;281 082,43;
92;000163;ГосЛПУ;Ростов_БП;;;;09561;МСЧ-61 ФКУЗ ФСИН России;11.11.2015;МСЧ-61 ФКУЗ ФСИН России;;Ростовская область;;;Зелинская Н.И.;50;ЛПУ;30;1,80;1,97;;;;;;735 821,68;182 592,85;;;430 105,62;32 203,96;АВТО;истина ;;ПЭК ООО;1;;;735 821,68;;430 105,62;000000189;;;;;;;;735 821,68;;430 105,62
93;000163;ГосЛПУ;Ростов_БП;;;;08581;Ростовский научно-исследовательский институт акушерства и педиатрии» Министерства здравоохранения Российской Федерации;30.12.2013;Ростовский научно-исследовательский институт акушерства и педиатрии» Министерства здравоохранения Российской Федерации;;Ростовская область;;;Носова Е.А.;50;Опт;30;1,80;1,97;;;;694 975,11;45 065,70;;;;;;;ЖД;истина ;;Желдорэкспедиция-ООО;1;;694 975,11;;;;000000189;;;;;;;694 975,11;;;
94;000163;ГосЛПУ;Ростов_БП;;;;08988;Перинатальный центр ГБУ РО;17.11.2014;Перинатальный центр ГБУ РО;;Ростовская область;;;Носова Е.А.;100;ЛПУ;40;2,40;2,63;;;;;;81 449,01;11 036,01;;;;;АВТО;истина ;;Деловые Линии ООО;1;;;81 449,01;;;000000189;;;;;;;;81 449,01;;
95;000163;ГосЛПУ;Ростов_БП;;;;08070;ПНД Усть-Донецкий филиал ГБУ РО;19.05.2014;ПНД Усть-Донецкий филиал ГБУ РО;;Ростовская область;;;Шкатова В.В;50;ЛПУ;30;1,80;1,97;;;;362 464,81;118 355,40;;;;;;;АВТО;истина ;;Деловые Линии ООО;1;;362 464,81;;;;000000189;;;;;;;362 464,81;;;
96;000163;ГосЛПУ;Ростов_БП;;;;10038;Ростовский ПНИ № 1 ГБУСОН РО;27.02.2017;Ростовский ПНИ № 1 ГБУСОН РО;;Ростовская область;;;Александров А.А.;50;ЛПУ;30;1,80;1,97;;;;;;;;;;2 490 922,76;31 217,50;АВТО;истина ;;ПЭК ООО;1;;;;;2 490 922,76;000000189;;;;;;;;;;2 490 922,76
97;000163;ГосЛПУ;Ростов_БП;;;;09791;Красносулинский филиал государственного бюджетного учреждения Ростовской области «Психоневрологический диспансер»;01.06.2016;Красносулинский филиал государственного бюджетного учреждения Ростовской области «Психоневрологический диспансер»;;Ростовская область;;;Шкатова В.В;50;ЛПУ;90;7,40;5,92;;;;;;;;453 857,72;71 515,72;;;АВТО;истина ;;ПЭК ООО;1;;;;453 857,72;;000000189;;;;;;;;;453 857,72;
98;000163;ГосЛПУ;Ростов_БП;;;;07465;РОКБ ГБУ г. Ростов-на-Дону;17.07.2012;РОКБ ГБУ г. Ростов-на-Дону;;Ростовская область;;;Шкатова В.В;50;ЛПУ;30;1,80;1,97;;;;;;;;154 843,18;-83 342,43;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;;;154 843,18;;000000189;;;;;;;;;154 843,18;
99;000163;ГосЛПУ;Ростов_БП;;;;09097;Психоневрологический диспансер, ГБУ Ростовской области;29.01.2015;Психоневрологический диспансер, ГБУ Ростовской области;;Ростовская область;;;Зелинская Н.И.;100;ЛПУ;30;1,80;1,97;;;;;;2 530 205,81;453 425,08;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;;2 415 672,62;;;000000189;;;;;;;;2 415 672,62;;
